School Number,School_Name,Community,School_Type,Title1 Pct,Students with Disabilities Pct,Homeless Pct,Economically Disadvantaged Pct,Dropout Rate (Chronic Absentee Pct),Mobility Rate,Distance_Miles,Score_Disabilities,Score_Homeless,Score_Eco,Score_Dropout,Score_Mobility,Score_Distance,Total_Sc,lat,lon
178,Excel Academy at Francis M. Wood High,Poppleton/The Terraces/Hollins Market,High,*,25.3,12,85.9,95,95,0.16519,22.55555556,31.25,87.80160858,100,100,94.81115509,66.93318652,39.29240224 ,-76.63406935 
450,Frederick Douglass High,Glen-Fallstaff,High,>= 95.0,21.9,14.5,82,84.3,82.4,0.75401,18.77777778,42.41071429,82.57372654,88.11111111,86,59.76130242,59.25643652,39.36482542 ,-76.70294000 
75,Katherine Johnson Global Academy,Greater Rosemont,Middle,>= 95.0,22,13.2,87,71,41.4,0.20513,18.88888889,36.60714286,89.27613941,73.33333333,40.44444444,92.43370338,58.66107449,39.30051322 ,-76.66075166 
130,Booker T. Washington Middle,Upton/Druid Heights,Middle,>= 95.0,27,10.7,87.6,71.4,45.9,0.16573,24.44444444,25.44642857,90.08042895,73.77777778,45.44444444,94.77901128,58.63735576,39.30399735 ,-76.62822924 
433,Renaissance Academy,Upton/Druid Heights,High,>= 95.0,21.4,5.1,84.2,88,95,0.16573,18.22222222,0.446428571,85.5227882,92.22222222,100,94.77901128,58.55350112,39.30265908 ,-76.62777551 
97,Collington Square Elementary/Middle,Clifton-Berea,Middle,>= 95.0,15,15.9,83.3,68.4,38.5,0.2661,11.11111111,48.66071429,84.31635389,70.44444444,37.22222222,88.8044287,57.12078452,39.30735270 ,-76.58713636 
95,Franklin Square Elementary/Middle,Southwest Baltimore,Middle,>= 95.0,13.9,18.4,87.3,66.2,41.6,0.66928,9.888888889,59.82142857,89.67828418,68,40.66666667,64.80490491,56.94903694,39.29087948 ,-76.63977676 
13,Tench Tilghman Elementary/Middle,Madison/East End,Middle,>= 95.0,15.1,16.1,81.5,58,41.7,0.28668,11.22222222,49.55357143,81.90348525,58.88888889,40.77777778,87.57939224,55.73460555,39.29768244 ,-76.58516151 
225,Westport Academy,Westport/Mount Winans/Lakeland,Middle,>= 95.0,35.2,7.2,87.5,64.3,51.7,0.45468,33.55555556,9.821428571,89.9463807,65.88888889,51.88888889,77.57909462,54.57663397,39.26273988 ,-76.63787390 
85,Fort Worthington Elementary/Middle,Clifton-Berea,Middle,>= 95.0,15.7,15.5,80.8,60.1,29.4,0.2442,11.88888889,46.875,80.96514745,61.22222222,27.11111111,90.10803893,54.34360381,39.30706512 ,-76.57978982 
35,Harlem Park Elementary/Middle,Sandtown-Winchester/Harlem Park,Middle,>= 95.0,13,14,91.6,29.3,42,0.22642,8.888888889,40.17857143,95.44235925,27,41.11111111,91.16640376,54.16015355,39.29894591 ,-76.64022178 
237,Highlandtown Elementary/Middle #237,Highlandtown,Middle,>= 95.0,9.6,27.4,63.5,32.8,25.3,0.30455,5.111111111,100,57.77479893,30.88888889,22.55555556,86.51567011,53.78771691,39.28950125 ,-76.56540812 
413,Achievement Academy at Harbor City High,Hamilton Hills,High,*,28.3,5,83.5,95,95,0.9672,25.88888889,0,84.5844504,100,100,47.07104378,53.38454695,39.36632848 ,-76.57109474 
421,National Academy Foundation,Oldtown/Middle East,Middle,>= 95.0,18.6,15.1,65.1,68.6,42.7,0.07802,15.11111111,45.08928571,59.91957105,70.66666667,41.88888889,100,53.27552768,39.29658049 ,-76.59756529 
28,Sandtown-Winchester Achievement Academy,Sandtown-Winchester/Harlem Park,Middle,>= 95.0,18.2,6.8,93.4,72,43.7,0.41778,14.66666667,8.035714286,97.85522788,74.44444444,43,79.77558856,52.71506589,39.30676309 ,-76.64032922 
87,Windsor Hills Elementary/Middle,Forest Park/Walbrook,Middle,>= 95.0,31.3,5,83.4,61.6,46,0.08846,29.22222222,0,84.45040214,62.88888889,45.55555556,99.37855293,52.70827237,39.31690976 ,-76.68289546 
8,City Springs Elementary/Middle,Harbor East/Little Italy,Middle,>= 95.0,14.1,11,85.3,58.4,31.2,0.18131,10.11111111,26.78571429,86.99731903,59.33333333,29.11111111,93.85160273,52.05087969,39.29021580 ,-76.59717914 
223,Pimlico Elementary/Middle,Pimlico/Arlington/Hilltop,Middle,>= 95.0,14.4,9.8,79.2,69.2,49.3,0.27811,10.44444444,21.42857143,78.82037534,71.33333333,49.22222222,88.08952647,51.34868154,39.34803712 ,-76.66871186 
15,Stadium School,The Waverlies,Middle,>= 95.0,30.8,7.1,83.3,59.9,45,0.43221,28.66666667,9.375,84.31635389,61,44.44444444,78.91663442,51.06936141,39.32089099 ,-76.60236643 
454,Carver Vocational-Technical High,Greater Rosemont,High,>= 95.0,18.9,6.9,82.9,83.8,48.8,0.60468,15.44444444,8.482142857,83.78016086,87.55555556,48.66666667,68.65025745,49.65011851,39.30502278 ,-76.65208266 
419,Reginald F. Lewis High,Hamilton Hills,High,*,24.5,7.4,75.7,85.8,86.3,1.01664,21.66666667,10.71428571,74.12868633,89.77777778,90.33333333,44.12809905,49.63868803,39.36475860 ,-76.57222060 
10,James McHenry Elementary/Middle,Poppleton/The Terraces/Hollins Market,Middle,>= 95.0,13.6,12.3,84.5,40.5,19.9,0.17852,9.555555556,32.58928571,85.92493298,39.44444444,16.55555556,94.0176791,49.61285336,39.28764285 ,-76.63366027 
134,Walter P. Carter Elementary/Middle,Greater Govans,Middle,>= 95.0,21.8,9.4,83.1,40.7,27.3,0.14379,18.66666667,19.64285714,84.04825737,39.66666667,24.77777778,96.08500253,49.53116393,39.34239109 ,-76.60465964 
63,Rosemont Elementary/Middle,Greater Rosemont,Middle,>= 95.0,13.3,8,85.3,50.8,31.4,0.12348,9.222222222,13.39285714,86.99731903,50.88888889,29.33333333,97.29396708,48.88866292,39.30462720 ,-76.66359201 
159,The Historic Cherry Hill Elementary/Middle,Cherry Hill,Middle,>= 95.0,12.9,5,88.7,57.7,35.6,0.0903,8.777777778,0,91.55495979,58.55555556,34,99.26902586,48.79020494,39.24843410 ,-76.62385515 
429,Vivien T. Thomas Medical Arts Academy,Southwest Baltimore,High,>= 95.0,13.1,6.4,81.8,84.8,55.1,0.64296,9,6.25,82.30563003,88.66666667,55.66666667,66.3716182,48.01548357,39.28976286 ,-76.63971450 
