Community,School_Name,lat,lon,Principal_Name,Principal_Email,Recreation_Center,Contact,Council District,Council_member,Concilmember_Phone,Concilmember_Email
Poppleton/The Terraces/Hollins Market,Excel Academy at Francis M. Wood High,39.292507,-76.63421116,Eugenia Young,ENYoung01@bcps.k12.md.us,Harlem Park Recreation Center,443-984-1293,9,John T. Bullock,410-396-4815,john.bullock@baltimorecity.gov
Glen-Fallstaff,Frederick Douglass High,39.32201053,-76.65743179,David Verdi,DVerdi@bcps.k12.md.us,Liberty Rec & Tech Center,443-642-5353,7,James Torrence,410-396-4810,james.torrence@baltimorecity.gov
Upton/Druid Heights,Renaissance Academy,39.30357613,-76.62751672,Tammatha Woodhouse,TWoodhouse@bcps.k12.md.us,Lillian S. Jones Recreation Center(TEMPORARILY CLOSED),N/A,11,Zac Blanchard,410-396-4816,zachary.blanchard@baltimorecity.gov
Hamilton Hills,Achievement Academy at Harbor City High,39.36632848,-76.57109474,Kristin Taylor,KNTaylor@bcps.k12.md.us,Northeast Regional Recreation Center,410-887-5374,3,Ryan Dorsey,410-396-4812,ryan.dorsey@baltimorecity.gov
Greater Rosemont,Carver Vocational-Technical High,39.30502278,-76.65208266,Craig Rivers,CLRivers@bcps.k12.md.us,N/A,N/A,7,James Torrence,410-396-4810,james.torrence@baltimorecity.gov
Hamilton Hills,Reginald F. Lewis High,39.36561075,-76.57128043,Shawnette Williams,SAWilliams01@bcps.k12.md.us,Northeast Regional Recreation Center,410-887-5374,3,Ryan Dorsey,410-396-4812,ryan.dorsey@baltimorecity.gov
Southwest Baltimore,Vivien T. Thomas Medical Arts Academy,39.28976286,-76.6397145,Lori Bush,LBush@bcps.k12.md.us,N/A,N/A,9,John T. Bullock,410-396-4815,john.bullock@baltimorecity.gov
Inner Harbor/Federal Hill,Digital Harbor High School,39.27697428,-76.60648133,Mavis Jackson,MJJackson@bcps.k12.md.us,N/A,N/A,11,Zac Blanchard,410-396-4816,zachary.blanchard@baltimorecity.gov
Northwood,Mergenthaler Vocational-Technical High,39.33558865,-76.58869796,Jermaine Skinner,JSkinner@bcps.k12.md.us,N/A,N/A,14,Odette Ramos,410-396-4814 ,odette.ramos@baltimorecity.gov
Belair-Edison,The Reach! Partnership School,39.31762078,-76.59299964,James Gresham,jgresham@bcps.k12.md.us,Coldstream Recreation Center,410-396-6746,12,Jermaine Jones,410-396-4811,jermaine.jones@baltimorecity.gov
Allendale/Irvington/S. Hilton,Edmondson-Westside High,39.3452647,-76.64336672,Joshua Pittman,JPittman@bcps.k12.md.us,Mary E Rodman Recreation Center,410-396-0477,8,Paris Gray,410-396-4818,paris.gray@baltimorecity.gov
Dorchester/Ashburton,Forest Park High,39.33261744,-76.6899733,Ninia Mouzone,NMouzone@bcps.k12.md.us,Liberty Rec & Tech Center,443-642-5353,6,Sharon Green Middleton,410-396-4832,sharon.middleton@baltimorecity.gov
Brooklyn/Curtis Bay/Hawkins Point,Benjamin Franklin High School at Masonville Cove,39.23303439,-76.59391267,Heather Bradley,HBradley@bcps.k12.md.us,Curtis Bay Recreation Center,410-396-1811,10,Phylicia Porter,410-396-4822,phylicia.porter@baltimorecity.gov
Greektown/Bayview,Patterson High,39.29293732,-76.53679659,April Myrick,AMyrick@bcps.k12.md.us,N/A,N/A,2,Danielle McCray,410-396-4808,danielle.mccray@baltimorecity.gov
Oldtown/Middle East,Paul Laurence Dunbar High,39.33042167,-76.63762495,Yetunde Reeves,YZReeves@bcps.k12.md.us,Virginia S. Baker Recreation Center,410-396-9156,12,Jermaine Jones,410-396-4811,jermaine.jones@baltimorecity.gov
