School_Name,Community,lat,lon,Principal_Name,Principal_Email,Recreation_Center,Contact,Council District,Council_member,Concilmember_Phone,Concilmember_Email
Katherine Johnson Global Academy,Greater Rosemont,39.30051322,-76.66075166,Ryan Stokeling,RMStokeling@bcps.k12.md.us,N/A,N/A,9,John T. Bullock,410-396-4815,john.bullock@baltimorecity.gov
Booker T. Washington Middle,Upton/Druid Heights,39.30265908,-76.62777551,Rashida Ford,RSFord@bcps.k12.md.us,Robert C. Marshall Recreation Center,410-396-8490 ,11,Zac Blanchard,410-396-4816,zachary.blanchard@baltimorecity.gov
Collington Square Elementary/Middle,Clifton-Berea,39.3073527,-76.58713636,Nakisha Fair,NAPowellFair@bcps.k12.md.us,Collington Square Recreation Center,410-396-9201,13,Antonio Glover,410-396-4829,antonio.glover@baltimorecity.gov
Franklin Square Elementary/Middle,Southwest Baltimore,39.29087948,-76.63977676,Nick DAmbrosio,NJDAmbrosio@bcps.k12.md.us,James McHenry Recreation Center,410-396-5016,9,John T. Bullock,410-396-4815,john.bullock@baltimorecity.gov
Tench Tilghman Elementary/Middle,Madison/East End,39.29768244,-76.58516151,Candace Purcell,CPNixon@bcps.k12.md.us,Tench Tilghman Recreation Center,410-396-9229,13,Antonio Glover,410-396-4829,antonio.glover@baltimorecity.gov
Westport Academy,Westport/Mount Winans/Lakeland,39.26273988,-76.6378739,Twanda Pickett,TPickett@bcps.k12.md.us,Lakeland Recreation Center,410-396-0091,10,Phylicia Porter,410-396-4822,phylicia.porter@baltimorecity.gov
Fort Worthington Elementary/Middle,Clifton-Berea,39.30706512,-76.57978982,Debra Holt,DAHolt01@bcps.k12.md.us,N/A,N/A,13,Antonio Glover,410-396-4829,antonio.glover@baltimorecity.gov
Harlem Park Elementary/Middle,Sandtown-Winchester/Harlem Park,39.29894591,-76.64022178,Venus Jackson,VJackson@bcps.k12.md.us,Harlem Park Recreation Center,443-984-1293,9,John T. Bullock,410-396-4815,john.bullock@baltimorecity.gov
Highlandtown Elementary/Middle #237,Highlandtown,39.28950125,-76.56540812,Brian Jones,BEJones@bcps.k12.md.us,Virginia S. Baker Recreation Center,410-396-9156,1,Mark Parker,410-396-4821,mark.parker@baltimorecity.gov
National Academy Foundation,Oldtown/Middle East,39.29658049,-76.59756529,Brynn Smith,BCSmith@bcps.k12.md.us,Chick Webb Recreation Center,410-396-7593,12,Jermaine Jones,410-396-4811,jermaine.jones@baltimorecity.gov
Sandtown-Winchester Achievement Academy,Sandtown-Winchester/Harlem Park,39.30676309,-76.64032922,Damian Williams,DWilliams09@bcps.k12.md.us,N/A,N/A,7,James Torrence,410-396-4810,james.torrence@baltimorecity.gov
Windsor Hills Elementary/Middle,Forest Park/Walbrook,39.31690976,-76.68289546,Stephanie Groce,SGroce@bcps.k12.md.us,Cahill Fitness and Wellness Center,410-396-0259,6,Sharon Green Middleton,410-396-4832,sharon.middleton@baltimorecity.gov
City Springs Elementary/Middle,Harbor East/Little Italy,39.2902158,-76.59717914,Rhonda Richetta,RRichetta@bcps.k12.md.us,Solo Gibbs Recreation Center,410 837-7182,12,Jermaine Jones,410-396-4811,jermaine.jones@baltimorecity.gov
Pimlico Elementary/Middle,Pimlico/Arlington/Hilltop,39.34803712,-76.66871186,Nneka Warren,nmbarnett@bcps.k12.md.us,C.C. Jackson Recreation Center,410-396-0949,6,Sharon Green Middleton,410-396-4832,sharon.middleton@baltimorecity.gov
Stadium School,The Waverlies,39.32089099,-76.60236643,William Dyer,WTDyer@bcps.k12.md.us,Coldstream Recreation Center,410-396-6746,14,Odette Ramos,410-396-4814 ,odette.ramos@baltimorecity.gov
